SYMBOL,NSE symbol,Todays Rate,Low,Open,High,Output,Volume,94642035,15268170215,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),362869,INE415G01027
HSCL,NSE:HSCL,257.65,252.5,253.2,258.45,Avoid,1059062,6126052,1039465682,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),42339,INE0AE001013
IEX,NSE:IEX,138,137,138.65,140,Avoid,9003780,5938332,2203551144,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),66135,INE191B01025
IDFC,NSE:IDFC,117.6,116.85,118.15,118.4,Avoid,2725093,5909442,2309166500,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),58033,INE121E01018
L&TFH,NSE:L&TFH,139.7,139,141.15,142.55,Avoid,9662524,5871090,452388420.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),27555,INE031A01017
SCI,NSE:SCI,132.95,132.25,134.8,135.15,Avoid,1422920,5839428,747784113.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),23008,INE027A01015
RAILTEL,NSE:RAILTEL,263.3,260.55,271.9,273.8,Avoid,6760411,5824943,1026030113,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),44419,INE602A01031
PARADEEP,NSE:PARADEEP,62.7,62.3,62.3,64.6,Best for Buy,2644681,5751334,1489142635,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),46128,INE094A01015
PATELENG,NSE:PATELENG,51.5,50.5,51,51.5,Avoid,5158206,5656884,754525973.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),47467,INE491A01021
INFY,NSE:INFY,1437.45,1433.65,1442,1452,Avoid,3584210,5640973,14251847311,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),91658,INE423A01024
RCF,NSE:RCF,123.9,123.5,125.1,125.9,Avoid,1353624,5637990,2671947090,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),85702,INE038A01020
HATHWAY,NSE:HATHWAY,19.85,19.75,19.95,20.6,Avoid,11366249,5443937,1027414014,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),30926,INE148I01020
NFL,NSE:NFL,69.25,69.2,69.9,70.2,Avoid,1163038,5426714,1358519625,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),45113,INE347G01014
CMSINFO,NSE:CMSINFO,391,388,389.95,397.4,Avoid,931533,5421706,1258970569,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),46878,INE395N01027
TVSSCS,NSE:TVSSCS,210.4,209.2,212.6,214.3,Avoid,836895,5271608,211757584.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),10067,INE608A01012
VISHWARAJ,NSE:VISHWARAJ,17.35,17.3,17.45,17.9,Avoid,896163,5254899,5281471305,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),43513,INE364U01010
BPCL,NSE:BPCL,392.45,387.45,390.65,393.4,Avoid,2253441,5239025,190366648.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),13712,INE0CU601026
INDIACEM,NSE:INDIACEM,218.4,215.8,218.85,222.55,Avoid,2019875,5172065,1862487782,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),53805,INE029A01011
BHARTIARTL,NSE:BHARTIARTL,963.75,941.95,949,964.3,Avoid,4646962,5158679,1428055242,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),51788,INE019C01026
INVENTURE,NSE:INVENTURE,2.2,2.15,2.2,2.25,Best for Sell,1661072,5102120,745387626.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),32071,INE388Y01029
TRIL,NSE:TRIL,203,194.75,197.7,204,Avoid,1179883,5054988,540162586.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),25767,INE0DK501011
